CONDITIONS	DURATIONS	STIM_TEXT	STIM_BITMAP	STIM_WAV	RESPONSE_BUTTON	ONSETS_TRIGGERS	ONSETS_MS	REPONSE_1	JUSTE	INSTANT_REPONSE	TEMPS_REACTION
0	52		Noir		0	0	0	0	0	0	0
8	27		Noir	calc1	0	52	4160	0	0	0	0
0	6		Noir		0	79	6320	0	0	0	0
8	27		Noir	calc2	0	85	6800	0	0	0	0
0	18		Noir		0	112	8960	0	0	0	0
0	27		Noir		0	130	10400	0	0	0	0
1	3		checherboardvnb		0	157	12560	0	0	0	0
1	3		checherboardvpb		0	160	12800	0	0	0	0
1	3		checherboardvnb		0	163	13043	0	0	0	0
1	3		checherboardvpb		0	166	13279	0	0	0	0
1	3		checherboardvnb		0	169	13519	0	0	0	0
1	3		checherboardvpb		0	172	13760	0	0	0	0
1	3		checherboardvnb		0	175	13999	0	0	0	0
1	3		checherboardvpb		0	178	14240	0	0	0	0
1	3		checherboardvnb		0	181	14479	0	0	0	0
1	3		checherboardvpb		0	184	14720	0	0	0	0
1	3		checherboardvnb		0	187	14960	0	0	0	0
1	3		checherboardvpb		0	190	15200	0	0	0	0
0	15		Noir		0	193	15439	0	0	0	0
3	4	appuyez	Noir		2	208	16640	0	0	0	4294950656
3	4	trois fois	Noir		0	212	16960	0	0	0	0
3	4	sur le bouton	Noir		0	216	17279	0	0	0	0
3	4	gauche	Noir		0	220	17599	0	0	0	0
0	33		Noir		0	224	17920	0	0	0	0
10	27		Noir	ph1	0	257	20559	0	0	0	0
0	14		Noir		0	284	22719	0	0	0	0
5	4	appuyez	Noir		4	298	23839	0	0	0	4294943457
5	4	trois fois	Noir		0	302	24160	0	0	0	0
5	4	sur le bouton	Noir		0	306	24480	0	0	0	0
5	4	droit	Noir		0	310	24799	0	0	0	0
0	22		Noir		1	314	25119	0	0	0	4294942177
10	27		Noir	ph2	0	336	26880	0	0	0	0
0	14		Noir		0	363	29040	0	0	0	0
4	33		Noir	clic3g	2	377	30160	0	0	0	4294937136
0	7		Noir		0	410	32800	0	0	0	0
6	33		Noir	clic3d	4	417	33360	0	0	0	4294933936
0	7		Noir		0	450	35999	0	0	0	0
10	27		Noir	ph3	0	457	36559	0	0	0	0
0	18		Noir		0	484	38719	0	0	0	0
2	3		checherboardhnb		0	502	40159	0	0	0	0
2	3		checherboardhpb		0	505	40399	0	0	0	0
2	3		checherboardhnb		0	508	40639	0	0	0	0
2	3		checherboardhpb		0	511	40879	0	0	0	0
2	3		checherboardhnb		0	514	41119	0	0	0	0
2	3		checherboardhpb		0	517	41359	0	0	0	0
2	3		checherboardhnb		0	520	41599	0	0	0	0
